1,0,100,200,False,competencia,
1,0.2,105,205,False,competencia,
1,0.4,110,210,True,competencia,
1,0.6,115,215,True,competencia,
1,0.8,120,220,False,competencia,
,,,,,,
2,0,98,198,False,cooperacion,
2,0.2,102,202,True,cooperacion,
2,0.4,107,207,True,cooperacion,
2,0.6,111,211,False,cooperacion,
,,,,,,
3,-0.2,115,215,True,competencia,
4,0.5,120,220,abc,competencia,
5,0.6,130,,True,competencia,
6,0.7,135,225,TRUE,competencia,
7,0.8,140,230,False,competicion,
8,0.9,145,235,False,,
9,1,150,240,False,cooperacion,extra
10,1.1,155,245,False,,
once,1.2,160,250,True,competencia,
